,winner,reward,num_actions,last_states
0,Strahd,-53,9,"tensor([[0.0000, 1.0000, 0.1000, 0.2000, 0.1000, 0.1000, 0.0000, 1.0000, 0.0060]])"
1,Strahd,-51,27,"tensor([[-0.2500,  0.7789,  0.1000,  0.2000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.0180]])"
2,Leotris,70,148,"tensor([[ 0.5625, -0.0526,  0.1000,  0.2000,  0.1000,  0.1000,  1.0000,  1.0000,
          0.0987]])"
3,Strahd,-48,25,"tensor([[-0.4375,  0.4421,  0.1000,  0.2000,  0.2000,  0.2000,  1.0000,  1.0000,
          0.0167]])"
4,Leotris,68,231,"tensor([[0.3750, 0.0000, 0.1000, 0.2000, 0.3000, 0.7000, 1.0000, 1.0000, 0.1540]])"
5,Leotris,65,96,"tensor([[ 0.5000, -0.0316,  0.1000,  0.2000,  0.3000,  0.5000,  1.0000,  1.0000,
          0.0640]])"
6,Leotris,73,133,"tensor([[ 0.8125, -0.0105,  0.1000,  0.2000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.0887]])"
7,Strahd,-40,102,"tensor([[0.0000, 0.2526, 0.1000, 0.2000, 0.2000, 0.2000, 0.0000, 1.0000, 0.0680]])"
8,Leotris,68,94,"tensor([[ 1.0000, -0.0842,  0.1000,  0.2000,  0.6000,  0.2000,  1.0000,  1.0000,
          0.0627]])"
9,Leotris,70,106,"tensor([[0.6875, 0.0000, 0.1000, 0.2000, 0.2000, 0.4000, 1.0000, 1.0000, 0.0707]])"
10,Leotris,67,120,"tensor([[ 1.0000, -0.0105,  0.1000,  0.2000,  0.5000,  0.4000,  1.0000,  1.0000,
          0.0800]])"
11,Leotris,66,111,"tensor([[0.1250, 0.0000, 0.1000, 0.2000, 0.1000, 0.8000, 1.0000, 1.0000, 0.0740]])"
12,Leotris,68,131,"tensor([[ 1.0000, -0.0105,  0.1000,  0.2000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.0873]])"
13,Leotris,68,121,"tensor([[1.0000, 0.0000, 0.1000, 0.2000, 0.3000, 0.3000, 0.0000, 1.0000, 0.0807]])"
14,Leotris,67,231,"tensor([[ 0.6250, -0.0632,  0.1000,  0.2000,  0.1000,  0.1000,  1.0000,  1.0000,
          0.1540]])"
15,Leotris,66,77,"tensor([[ 0.0625, -0.0105,  0.1000,  0.2000,  0.2000,  0.1000,  1.0000,  1.0000,
          0.0513]])"
16,Leotris,65,62,"tensor([[0.3125, 0.0000, 0.1000, 0.2000, 0.1000, 0.4000, 0.0000, 1.0000, 0.0413]])"
17,Leotris,64,50,"tensor([[ 0.5000, -0.0211,  0.1000,  0.2000,  0.1000,  0.5000,  1.0000,  1.0000,
          0.0333]])"
18,Leotris,68,109,"tensor([[1.0000, 0.0000, 0.1000, 0.2000, 0.3000, 0.2000, 1.0000, 1.0000, 0.0727]])"
19,Leotris,66,255,"tensor([[ 1.0000, -0.0316,  0.1000,  0.2000,  0.3000,  0.8000,  1.0000,  1.0000,
          0.1700]])"
20,Strahd,-41,107,"tensor([[-0.1250,  0.3789,  0.1000,  0.2000,  0.2000,  0.2000,  1.0000,  1.0000,
          0.0713]])"
21,Leotris,72,171,"tensor([[ 1.0000, -0.0316,  0.1000,  0.2000,  0.1000,  0.6000,  1.0000,  1.0000,
          0.1140]])"
22,Leotris,67,130,"tensor([[ 1.0000, -0.0947,  0.1000,  0.2000,  0.4000,  0.2000,  1.0000,  1.0000,
          0.0867]])"
23,Leotris,71,112,"tensor([[ 1.0000, -0.0737,  0.1000,  0.2000,  0.4000,  0.6000,  1.0000,  1.0000,
          0.0747]])"
24,Leotris,69,235,"tensor([[ 1.0000, -0.0842,  0.1000,  0.2000,  0.5000,  0.2000,  1.0000,  1.0000,
          0.1567]])"
25,Leotris,70,114,"tensor([[ 0.6250, -0.0632,  0.1000,  0.2000,  0.4000,  0.5000,  1.0000,  1.0000,
          0.0760]])"
26,Strahd,-35,238,"tensor([[-0.3750,  0.1684,  0.1000,  0.2000,  0.1000,  0.1000,  1.0000,  1.0000,
          0.1587]])"
27,Leotris,67,61,"tensor([[ 0.4375, -0.0211,  0.1000,  0.2000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.0407]])"
28,Leotris,65,147,"tensor([[ 0.7500, -0.0632,  0.1000,  0.2000,  0.7000,  0.2000,  1.0000,  1.0000,
          0.0980]])"
29,Leotris,65,84,"tensor([[ 1.0000, -0.0632,  0.1000,  0.2000,  0.5000,  0.5000,  1.0000,  1.0000,
          0.0560]])"
30,Leotris,69,148,"tensor([[ 0.8125, -0.0211,  0.1000,  0.2000,  0.4000,  0.4000,  1.0000,  1.0000,
          0.0987]])"
31,Leotris,65,59,"tensor([[0.7500, 0.0000, 0.1000, 0.2000, 0.1000, 0.4000, 1.0000, 1.0000, 0.0393]])"
32,Leotris,66,286,"tensor([[ 1.0000, -0.0316,  0.1000,  0.2000,  0.8000,  0.1000,  1.0000,  1.0000,
          0.1907]])"
33,Leotris,72,136,"tensor([[ 1.0000, -0.0526,  0.1000,  0.2000,  0.4000,  0.6000,  1.0000,  1.0000,
          0.0907]])"
34,Leotris,69,205,"tensor([[ 0.5000, -0.0421,  0.1000,  0.2000,  0.4000,  0.1000,  1.0000,  1.0000,
          0.1367]])"
35,Leotris,66,99,"tensor([[0.5625, 0.0000, 0.1000, 0.2000, 0.8000, 0.1000, 1.0000, 1.0000, 0.0660]])"
36,Strahd,-33,90,"tensor([[-0.1250,  0.0211,  0.1000,  0.2000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.0600]])"
37,Leotris,69,208,"tensor([[ 0.6875, -0.0737,  0.1000,  0.2000,  0.6000,  0.2000,  1.0000,  1.0000,
          0.1387]])"
38,Leotris,71,104,"tensor([[ 1.0000, -0.0421,  0.1000,  0.2000,  0.2000,  0.6000,  1.0000,  1.0000,
          0.0693]])"
39,Leotris,66,100,"tensor([[ 1.0000, -0.0211,  0.1000,  0.2000,  0.1000,  0.6000,  1.0000,  1.0000,
          0.0667]])"
40,Leotris,69,192,"tensor([[ 1.0000, -0.0105,  0.1000,  0.2000,  0.4000,  0.6000,  1.0000,  1.0000,
          0.1280]])"
