,winner,reward,num_actions,last_states
0,Leotris,66,1075,"tensor([[ 0.2344, -0.0105,  0.1000,  0.2000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.7167]])"
1,Leotris,73,718,"tensor([[ 0.5625, -0.0105,  0.1000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.4787]])"
2,Strahd,-37,435,"tensor([[-0.0469,  0.1158,  0.2000,  0.2000,  0.2000,  0.1000,  0.0000,  1.0000,
          0.2900]])"
3,Leotris,71,368,"tensor([[ 0.4219, -0.0105,  0.2000,  0.4000,  0.1000,  0.6000,  0.0000,  1.0000,
          0.2453]])"
4,Leotris,71,391,"tensor([[ 0.4531, -0.0105,  0.2000,  0.3000,  0.4000,  0.4000,  0.0000,  1.0000,
          0.2607]])"
5,Leotris,74,291,"tensor([[ 0.5781, -0.0105,  0.2000,  0.3000,  0.3000,  0.5000,  0.0000,  1.0000,
          0.1940]])"
6,Leotris,69,1129,"tensor([[ 0.2031, -0.0105,  0.2000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.7527]])"
7,Leotris,69,575,"tensor([[ 0.3906, -0.0105,  0.2000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.3833]])"
8,Leotris,68,1036,"tensor([[ 0.1719, -0.0105,  0.2000,  0.1000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.6907]])"
9,Leotris,71,726,"tensor([[ 0.2969, -0.0105,  0.2000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.4840]])"
10,Leotris,73,504,"tensor([[ 0.5469, -0.0105,  0.2000,  0.1000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3360]])"
11,Leotris,69,773,"tensor([[ 0.0312, -0.0105,  0.3000,  0.1000,  0.1000,  0.1000,  0.0000,  1.0000,
          0.5153]])"
12,Leotris,72,420,"tensor([[ 0.3281, -0.0105,  0.2000,  0.2000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.2800]])"
13,Strahd,-49,182,"tensor([[-0.0938,  0.5263,  0.2000,  0.1000,  0.1000,  0.1000,  0.0000,  1.0000,
          0.1213]])"
14,Leotris,69,490,"tensor([[ 0.4375, -0.0105,  0.2000,  0.2000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.3267]])"
15,Leotris,74,469,"tensor([[ 0.7500, -0.0105,  0.2000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.3127]])"
16,Leotris,67,386,"tensor([[ 0.2500, -0.0105,  0.2000,  0.1000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.2573]])"
17,Leotris,72,426,"tensor([[ 0.3906, -0.0105,  0.3000,  0.1000,  0.1000,  0.2000,  0.0000,  1.0000,
          0.2840]])"
18,Leotris,69,364,"tensor([[ 0.6094, -0.0105,  0.3000,  0.1000,  0.1000,  0.1000,  0.0000,  1.0000,
          0.2427]])"
19,Leotris,73,179,"tensor([[ 0.8594, -0.0105,  0.3000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.1193]])"
20,Leotris,68,574,"tensor([[ 0.2500, -0.0105,  0.2000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.3827]])"
21,Leotris,71,429,"tensor([[ 0.3750, -0.0105,  0.3000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.2860]])"
22,Strahd,-38,238,"tensor([[0.0000, 0.1158, 0.3000, 0.1000, 0.3000, 0.2000, 0.0000, 1.0000, 0.1587]])"
23,Leotris,68,253,"tensor([[ 0.3438, -0.0105,  0.3000,  0.2000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.1687]])"
24,Leotris,72,323,"tensor([[ 0.5781, -0.0105,  0.3000,  0.2000,  0.3000,  0.4000,  0.0000,  1.0000,
          0.2153]])"
25,Leotris,72,341,"tensor([[ 0.4688, -0.0105,  0.3000,  0.2000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.2273]])"
26,Leotris,74,487,"tensor([[ 0.4062, -0.0105,  0.3000,  0.2000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.3247]])"
27,Leotris,66,196,"tensor([[ 0.2656, -0.0105,  0.3000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.1307]])"
28,Leotris,72,476,"tensor([[ 0.5469, -0.0105,  0.3000,  0.2000,  0.1000,  0.2000,  0.0000,  1.0000,
          0.3173]])"
29,Leotris,68,229,"tensor([[ 0.1406, -0.0105,  0.3000,  0.2000,  0.3000,  0.4000,  0.0000,  1.0000,
          0.1527]])"
30,Leotris,69,396,"tensor([[ 0.4688, -0.0105,  0.3000,  0.1000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.2640]])"
31,Leotris,73,166,"tensor([[ 0.7188, -0.0105,  0.3000,  0.1000,  0.1000,  0.2000,  0.0000,  1.0000,
          0.1107]])"
32,Leotris,74,466,"tensor([[ 0.7031, -0.0105,  0.2000,  0.1000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3107]])"
33,Leotris,67,902,"tensor([[ 0.2969, -0.0105,  0.2000,  0.1000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.6013]])"
34,Leotris,72,268,"tensor([[ 0.6250, -0.0105,  0.2000,  0.1000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.1787]])"
35,Leotris,70,783,"tensor([[ 0.2188, -0.0105,  0.1000,  0.3000,  0.2000,  0.1000,  0.0000,  1.0000,
          0.5220]])"
