,winner,reward,num_actions,last_states
0,Leotris,69,104,"tensor([[0.2500, 0.0000, 0.1000, 0.2000, 0.3000, 0.3000, 0.0000, 1.0000, 0.0693]])"
1,Leotris,75,324,"tensor([[ 0.5357, -0.0105,  0.1000,  0.2000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.2160]])"
2,Leotris,76,305,"tensor([[0.2143, 0.0000, 0.1000, 0.2000, 0.3000, 0.1000, 1.0000, 1.0000, 0.2033]])"
3,Leotris,73,312,"tensor([[ 0.8571, -0.0105,  0.1000,  0.2000,  0.1000,  0.4000,  0.0000,  1.0000,
          0.2080]])"
4,Leotris,75,180,"tensor([[ 0.5000, -0.0316,  0.1000,  0.2000,  0.4000,  0.3000,  1.0000,  1.0000,
          0.1200]])"
5,Leotris,78,246,"tensor([[1.0000, 0.0000, 0.1000, 0.2000, 0.2000, 0.4000, 1.0000, 1.0000, 0.1640]])"
6,Leotris,77,277,"tensor([[ 1.0000, -0.0316,  0.1000,  0.2000,  0.3000,  0.6000,  1.0000,  1.0000,
          0.1847]])"
7,Leotris,76,306,"tensor([[ 0.5357, -0.0105,  0.1000,  0.2000,  0.1000,  0.1000,  1.0000,  1.0000,
          0.2040]])"
8,Leotris,86,354,"tensor([[1.0000, 0.0000, 0.1000, 0.2000, 0.2000, 0.1000, 1.0000, 1.0000, 0.2360]])"
9,Leotris,73,167,"tensor([[0.6071, 0.0000, 0.1000, 0.2000, 0.3000, 0.2000, 0.0000, 1.0000, 0.1113]])"
10,Leotris,75,494,"tensor([[ 0.6429, -0.0105,  0.1000,  0.2000,  0.2000,  0.4000,  1.0000,  1.0000,
          0.3293]])"
11,Leotris,76,383,"tensor([[ 0.5000, -0.0211,  0.1000,  0.2000,  0.6000,  0.1000,  1.0000,  1.0000,
          0.2553]])"
12,Leotris,75,169,"tensor([[ 0.6429, -0.0105,  0.1000,  0.2000,  0.1000,  0.3000,  1.0000,  1.0000,
          0.1127]])"
13,Leotris,75,244,"tensor([[ 0.7143, -0.0105,  0.1000,  0.2000,  0.1000,  0.5000,  1.0000,  1.0000,
          0.1627]])"
14,Leotris,78,193,"tensor([[ 0.9286, -0.0105,  0.1000,  0.2000,  0.1000,  0.4000,  1.0000,  1.0000,
          0.1287]])"
15,Leotris,87,406,"tensor([[ 0.5714, -0.0105,  0.1000,  0.2000,  0.2000,  0.2000,  1.0000,  1.0000,
          0.2707]])"
16,Leotris,75,209,"tensor([[ 0.6786, -0.0105,  0.1000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.1393]])"
17,Leotris,78,170,"tensor([[ 0.2857, -0.0316,  0.1000,  0.2000,  0.3000,  0.5000,  1.0000,  1.0000,
          0.1133]])"
18,Leotris,81,288,"tensor([[ 1.0000, -0.0526,  0.1000,  0.2000,  0.7000,  0.2000,  1.0000,  1.0000,
          0.1920]])"
19,Leotris,80,213,"tensor([[ 0.6071, -0.0211,  0.1000,  0.2000,  0.3000,  0.6000,  1.0000,  1.0000,
          0.1420]])"
20,Leotris,76,194,"tensor([[ 0.6786, -0.0105,  0.1000,  0.2000,  0.5000,  0.2000,  1.0000,  1.0000,
          0.1293]])"
21,Leotris,78,392,"tensor([[ 0.3929, -0.0211,  0.1000,  0.2000,  0.5000,  0.4000,  1.0000,  1.0000,
          0.2613]])"
